"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nicolasnosal.fr/109.234.164.68","443","INFO","HTTP","",""
"pre_128cipher","nicolasnosal.fr/109.234.164.68","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nicolasnosal.fr/109.234.164.68","443","OK","not offered","",""
"SSLv3","nicolasnosal.fr/109.234.164.68","443","OK","not offered","",""
"TLS1","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","",""
"TLS1_1","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","",""
"TLS1_2","nicolasnosal.fr/109.234.164.68","443","OK","offered","",""
"TLS1_3","nicolasnosal.fr/109.234.164.68","443","OK","offered with final","",""
"ALPN_HTTP2","nicolasnosal.fr/109.234.164.68","443","OK","h2","",""
"ALPN","nicolasnosal.fr/109.234.164.68","443","INFO","http/1.1","",""
"cipherlist_NULL","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nicolasnosal.fr/109.234.164.68","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","",""
"cipherlist_STRONG_FS","nicolasnosal.fr/109.234.164.68","443","OK","offered","",""
"cipher_order-tls1_2","nicolasnosal.fr/109.234.164.68","443","OK","server","",""
"cipherorder_TLSv1_2","nicolasnosal.fr/109.234.164.68","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","nicolasnosal.fr/109.234.164.68","443","OK","server -- TLS 1.3 client determined","",""
"FS","nicolasnosal.fr/109.234.164.68","443","OK","offered","",""
"FS_ciphers","nicolasnosal.fr/109.234.164.68","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","nicolasnosal.fr/109.234.164.68","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","nicolasnosal.fr/109.234.164.68","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","nicolasnosal.fr/109.234.164.68","443","INFO","valid for 3600 seconds only (<daily)","",""
"SSL_sessionID_support","nicolasnosal.fr/109.234.164.68","443","INFO","yes","",""
"sessionresumption_ticket","nicolasnosal.fr/109.234.164.68","443","INFO","supported","",""
"sessionresumption_ID","nicolasnosal.fr/109.234.164.68","443","INFO","supported","",""
"TLS_timestamp","nicolasnosal.fr/109.234.164.68","443","INFO","random","",""
"certificate_compression","nicolasnosal.fr/109.234.164.68","443","INFO","none","",""
"clientAuth","nicolasnosal.fr/109.234.164.68","443","INFO","none","",""
"cert_numbers","nicolasnosal.fr/109.234.164.68","443","INFO","1","",""
"cert_signatureAlgorithm","nicolasnosal.fr/109.234.164.68","443","OK","SHA256 with RSA","",""
"cert_keySize","nicolasnosal.fr/109.234.164.68","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","nicolasnosal.fr/109.234.164.68","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","nicolasnosal.fr/109.234.164.68","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","nicolasnosal.fr/109.234.164.68","443","INFO","057DAB2F7ECD809EB67CA73770C7612779BD","",""
"cert_serialNumberLen","nicolasnosal.fr/109.234.164.68","443","INFO","18","",""
"cert_fingerprintSHA1","nicolasnosal.fr/109.234.164.68","443","INFO","EF3501FFA14C09BE540E46246E71BF4A0DD23731","",""
"cert_fingerprintSHA256","nicolasnosal.fr/109.234.164.68","443","INFO","D65F3468929229BCD6484E054B91CB066683FF6BC58C9CEEAA7ED7B5FE472266","",""
