"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nicolasnosal.fr/109.234.164.68","443","INFO","HTTP","",""
"pre_128cipher","nicolasnosal.fr/109.234.164.68","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nicolasnosal.fr/109.234.164.68","443","OK","not offered","",""
"SSLv3","nicolasnosal.fr/109.234.164.68","443","OK","not offered","",""
"TLS1","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","",""
"TLS1_1","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","",""
"TLS1_2","nicolasnosal.fr/109.234.164.68","443","OK","offered","",""
"TLS1_3","nicolasnosal.fr/109.234.164.68","443","OK","offered with final","",""
"ALPN_HTTP2","nicolasnosal.fr/109.234.164.68","443","OK","h2","",""
"ALPN","nicolasnosal.fr/109.234.164.68","443","INFO","http/1.1","",""
"cipherlist_NULL","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nicolasnosal.fr/109.234.164.68","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nicolasnosal.fr/109.234.164.68","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","nicolasnosal.fr/109.234.164.68","443","INFO","not offered","",""
"cipherlist_STRONG_FS","nicolasnosal.fr/109.234.164.68","443","OK","offered","",""
"cipher_order-tls1_2","nicolasnosal.fr/109.234.164.68","443","OK","server","",""
"cipherorder_TLSv1_2","nicolasnosal.fr/109.234.164.68","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","nicolasnosal.fr/109.234.164.68","443","OK","server","",""
"FS","nicolasnosal.fr/109.234.164.68","443","OK","offered","",""
"FS_ciphers","nicolasnosal.fr/109.234.164.68","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","nicolasnosal.fr/109.234.164.68","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","nicolasnosal.fr/109.234.164.68","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","nicolasnosal.fr/109.234.164.68","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","nicolasnosal.fr/109.234.164.68","443","INFO","valid for 3600 seconds only (<daily)","",""
"SSL_sessionID_support","nicolasnosal.fr/109.234.164.68","443","INFO","yes","",""
"sessionresumption_ticket","nicolasnosal.fr/109.234.164.68","443","INFO","supported","",""
"sessionresumption_ID","nicolasnosal.fr/109.234.164.68","443","INFO","supported","",""
"TLS_timestamp","nicolasnosal.fr/109.234.164.68","443","INFO","random","",""
"certificate_compression","nicolasnosal.fr/109.234.164.68","443","INFO","none","",""
"clientAuth","nicolasnosal.fr/109.234.164.68","443","INFO","none","",""
"cert_numbers","nicolasnosal.fr/109.234.164.68","443","INFO","1","",""
"cert_signatureAlgorithm","nicolasnosal.fr/109.234.164.68","443","OK","SHA256 with RSA","",""
"cert_keySize","nicolasnosal.fr/109.234.164.68","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","nicolasnosal.fr/109.234.164.68","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","nicolasnosal.fr/109.234.164.68","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","nicolasnosal.fr/109.234.164.68","443","INFO","06B007D6BE0B34C922199E988F49D858D22D","",""
"cert_serialNumberLen","nicolasnosal.fr/109.234.164.68","443","INFO","18","",""
"cert_fingerprintSHA1","nicolasnosal.fr/109.234.164.68","443","INFO","CA33924B405D397B689068470191D3E83968C951","",""
"cert_fingerprintSHA256","nicolasnosal.fr/109.234.164.68","443","INFO","E41F505017FA4F360B504CA6D5AC10A8D75D220D829ED96C21D0B6C984CB9E28","",""
